canonical_sku,attribute_key,value,source_sku,confidence
BR-234,"material","stainless",BR-234,0.790
BR-234,"mounting","recessed",BR-234,0.790
BR-236,"mounting","recessed",BR-236,0.740
BR-2A02,"finish","stainless",BR-2A02,0.790
BR-2A02,"material","stainless",BR-2A02,0.790
BR-2A02,"mounting","recessed",BR-2A02,0.790
BR-2A05,"mounting","recessed",BR-2A05,0.740
BR-2A25-36,"mounting","recessed",BR-2A25-36,0.740
BR-2B1-110000,"finish","stainless",BR-2B1-110000,0.790
BR-2B1-110000,"material","stainless",BR-2B1-110000,0.790
BR-2B1-110000,"mounting","surface",BR-2B1-110000,0.790
BR-2B1-113400,"finish","stainless",BR-2B1-113400,0.790
BR-2B1-113400,"material","stainless",BR-2B1-113400,0.790
BR-2B1-113400,"mounting","surface",BR-2B1-113400,0.790
BR-2B1-113600,"finish","stainless",BR-2B1-113600,0.790
BR-2B1-113600,"material","stainless",BR-2B1-113600,0.790
BR-2B1-113600,"mounting","surface",BR-2B1-113600,0.790
BR-2B5-110000,"mounting","surface",BR-2B5-110000,0.740
BR-2B5-113400,"mounting","surface",BR-2B5-113400,0.740
BR-2B5-113600,"mounting","surface",BR-2B5-113600,0.740
BR-377-36,"finish","stainless",BR-377-36,0.790
BR-377-36,"material","stainless",BR-377-36,0.790
BR-377-44,"finish","stainless",BR-377-44,0.790
BR-377-44,"material","stainless",BR-377-44,0.790
BR-3B1-000000,"finish","stainless",BR-3B1-000000,0.790
BR-3B1-000000,"material","stainless",BR-3B1-000000,0.790
BR-3B1-000000,"mounting","recessed",BR-3B1-000000,0.790
BR-3B1-003400,"finish","stainless",BR-3B1-003400,0.790
BR-3B1-003400,"material","stainless",BR-3B1-003400,0.790
BR-3B1-003400,"mounting","recessed",BR-3B1-003400,0.790
BR-3B1-003600,"finish","stainless",BR-3B1-003600,0.790
BR-3B1-003600,"material","stainless",BR-3B1-003600,0.790
BR-3B1-003600,"mounting","recessed",BR-3B1-003600,0.790
BR-3B1-110000,"finish","stainless",BR-3B1-110000,0.790
BR-3B1-110000,"material","stainless",BR-3B1-110000,0.790
BR-3B1-110000,"mounting","surface",BR-3B1-110000,0.790
BR-3B1-113400,"finish","stainless",BR-3B1-113400,0.790
BR-3B1-113400,"material","stainless",BR-3B1-113400,0.790
BR-3B1-113400,"mounting","surface",BR-3B1-113400,0.790
BR-3B1-113600,"finish","stainless",BR-3B1-113600,0.790
BR-3B1-113600,"material","stainless",BR-3B1-113600,0.790
BR-3B1-113600,"mounting","surface",BR-3B1-113600,0.790
BR-4781-11,"finish","stainless",BR-4781-11,0.790
BR-4781-11,"material","stainless",BR-4781-11,0.790
BR-4781-11,"mounting","surface",BR-4781-11,0.790
BR-4B2-000000,"finish","stainless",BR-4B2-000000,0.870
BR-4B2-000000,"material","stainless",BR-4B2-000000,0.870
BR-4B2-000000,"mounting","recessed",BR-4B2-000000,0.870
BR-4B2-110000,"finish","stainless",BR-4B2-110000,0.790
BR-4B2-110000,"material","stainless",BR-4B2-110000,0.790
BR-4B2-110000,"mounting","surface",BR-4B2-110000,0.790
BR-5A00,"finish","stainless",BR-5A00,0.790
BR-5A00,"material","stainless",BR-5A00,0.790
BR-5A00,"mounting","recessed",BR-5A00,0.790
BR-5B1-003600,"finish","stainless",BR-5B1-003600,0.790
BR-5B1-003600,"material","stainless",BR-5B1-003600,0.790
BR-5B1-003600,"mounting","recessed",BR-5B1-003600,0.790
BR-5B1-110000,"mounting","surface",BR-5B1-110000,0.740
BR-5B1-113600,"mounting","surface",BR-5B1-113600,0.740
BR-5B2-000000,"finish","stainless",BR-5B2-000000,0.790
BR-5B2-000000,"material","stainless",BR-5B2-000000,0.790
BR-5B2-000000,"mounting","recessed",BR-5B2-000000,0.790
BR-5B2-110000,"mounting","surface",BR-5B2-110000,0.740
BR-6B1-000000,"finish","stainless",BR-6B1-000000,0.790
BR-6B1-000000,"material","stainless",BR-6B1-000000,0.790
BR-6B1-000000,"mounting","recessed",BR-6B1-000000,0.790
BR-6B1-110000,"finish","stainless",BR-6B1-110000,0.790
BR-6B1-110000,"material","stainless",BR-6B1-110000,0.790
BR-6B1-110000,"mounting","surface",BR-6B1-110000,0.790
BR-6B1-110000T,"mounting","surface",BR-6B1-110000T,0.740
BR-6B1-110073,"finish","stainless",BR-6B1-110073,0.790
BR-6B1-110073,"material","stainless",BR-6B1-110073,0.790
BR-6B1-110073,"mounting","surface",BR-6B1-110073,0.790
BR-760-1830,"finish","stainless",BR-760-1830,0.820
BR-760-1830,"material","stainless",BR-760-1830,0.820
BR-760-1830,size,"18in",BR-760-1830,0.820
BR-781-6024,size,"60in",BR-781-6024,0.770
BR-781-6036,size,"60in",BR-781-6036,0.770
BR-7B1-0018300,"finish","stainless",BR-7B1-0018300,0.820
BR-7B1-0018300,"material","stainless",BR-7B1-0018300,0.820
BR-7B1-0018300,size,"18in",BR-7B1-0018300,0.820
BR-7B1-0024360,"finish","stainless",BR-7B1-0024360,0.820
BR-7B1-0024360,"material","stainless",BR-7B1-0024360,0.820
BR-7B1-0024360,size,"24in",BR-7B1-0024360,0.820
BR-7B1-1024360,size,"24in",BR-7B1-1024360,0.770
BR-7B1-3024360,size,"24in",BR-7B1-3024360,0.770
BR-7B1-5024360,size,"24in",BR-7B1-5024360,0.770
BR-7B1-7024360,size,"24in",BR-7B1-7024360,0.770
BR-7B2-0051200,"finish","stainless",BR-7B2-0051200,0.820
BR-7B2-0051200,"material","stainless",BR-7B2-0051200,0.820
BR-7B2-0051200,size,"5in",BR-7B2-0051200,0.820
BR-7B2-0051296,"finish","stainless",BR-7B2-0051296,0.820
BR-7B2-0051296,"material","stainless",BR-7B2-0051296,0.820
BR-7B2-0051296,size,"5in",BR-7B2-0051296,0.820
BR-7B2-0052400,"finish","stainless",BR-7B2-0052400,0.820
