id,sku,category,manufacturer,uom,base_material_cost,base_labor_minutes,active,install_labor_family,violation_flags
cs-co8-8,CS-CO8-8,Wall Protection,Construction Specialties,EA,150,45,1,,missing_install_labor_family;
cs-floormations-sf,CS-FLOORMATIONS-SF,Entrance Mats,Construction Specialties,SF,75,10,1,,missing_install_labor_family;
cs-gridline-sf,CS-GRIDLINE-SF,Entrance Mats,Construction Specialties,SF,95,12,1,,missing_install_labor_family;
asi-0730,ASI-0730,Toilet Accessories,American Specialties Inc.,EA,115,20,1,,missing_install_labor_family;
cs-pedigrid-sf,CS-PEDIGRID-SF,Entrance Mats,Construction Specialties,SF,85,10,1,,missing_install_labor_family;
cs-pedimat-sf,CS-PEDIMAT-SF,Entrance Mats,Construction Specialties,SF,65,8,1,,missing_install_labor_family;
cs-track-cubicle,CS-TRACK-CUBICLE,Cubicle Curtains & Track,Construction Specialties,LF,8.5,8,1,,missing_install_labor_family;
cs-treadline-t1-sf,CS-TREADLINE-T1-SF,Entrance Mats,Construction Specialties,SF,42,7,1,,missing_install_labor_family;
eder-45-al-brkt,EDER-45-AL-BRKT,Flags / Flagpoles,Eder Flag,EA,15,15,1,,missing_install_labor_family;
eder-6spin-set,EDER-6SPIN-SET,Flags / Flagpoles,Eder Flag,EA,67.05,30,1,,missing_install_labor_family;
eder-cleat-6-alum,EDER-CLEAT-6-ALUM,Flags / Flagpoles,Eder Flag,EA,12,10,1,,missing_install_labor_family;
eder-cleat-9-alum,EDER-CLEAT-9-ALUM,Flags / Flagpoles,Eder Flag,EA,18,10,1,,missing_install_labor_family;
elc-led-exit-bb,ELC-LED-EXIT-BB,Signage,Exit Light Co.,EA,65,30,1,,missing_install_labor_family;
fl-4c12d,FL-4C12D,Postal Specialties,Florence,EA,2450,210,1,,missing_install_labor_family;
fl-4c16d,FL-4C16D,Postal Specialties,Florence,EA,2850,225,1,,missing_install_labor_family;
fl-4c16d-20,FL-4C16D-20,Postal Specialties,Florence,EA,3249,240,1,,missing_install_labor_family;
eder-ws100,EDER-WS100,Flags / Flagpoles,Eder Flag,EA,88,30,1,,missing_install_labor_family;
fl-4c-carrier-access,FL-4C-CARRIER-ACCESS,Postal Specialties,Florence,EA,325,60,1,,missing_install_labor_family;
fl-4c-outgoing-comp,FL-4C-OUTGOING-COMP,Postal Specialties,Florence,EA,225,45,1,,missing_install_labor_family;
fl-4c16d-19,FL-4C16D-19,Postal Specialties,Florence,EA,3350,240,1,,missing_install_labor_family;
fl-4c16d-6p,FL-4C16D-6P,Postal Specialties,Florence,EA,2150,180,1,,missing_install_labor_family;
fl-84993,FL-84993,Postal Specialties,Florence,EA,8,5,1,,missing_install_labor_family;
fl-91038,FL-91038,Postal Specialties,Florence,EA,6,5,1,,missing_install_labor_family;
formsurfaces-chipman,FORMSURFACES-CHIPMAN,Waste & Recycling Receptacles,Forms+Surfaces,EA,1450,75,1,,missing_install_labor_family;
gemini-address-num,GEMINI-ADDRESS-NUM,Signage,Gemini,EA,65,15,1,,missing_install_labor_family;
gemini-address-number,GEMINI-ADDRESS-NUMBER,Signage,Gemini,EA,65,15,1,,missing_install_labor_family;
gemini-cast-alum-plaque,GEMINI-CAST-ALUM-PLAQUE,Plaques,Gemini,EA,475,120,1,,missing_install_labor_family;
gemini-cast-bronze-plaque,GEMINI-CAST-BRONZE-PLAQUE,Plaques,Gemini,EA,650,120,1,,missing_install_labor_family;
gemini-cast-metal-letter,GEMINI-CAST-METAL-LETTER,Signage,Gemini,EA,95,20,1,,missing_install_labor_family;
gemini-cast-metal-letters,GEMINI-CAST-METAL-LETTERS,Signage,Gemini,EA,95,20,1,,missing_install_labor_family;
gemini-impl-letters,GEMINI-IMPL-LETTERS,Signage,Gemini,EA,45,15,1,,missing_install_labor_family;
gemini-precision-bronze-plaque,GEMINI-PRECISION-BRONZE-PLAQUE,Plaques,Gemini,EA,750,120,1,,missing_install_labor_family;
ghent-12ut44-w,GHENT-12UT44-W,Visual Display,Ghent,EA,305,45,1,,missing_install_labor_family;
ghent-12ut48-w,GHENT-12UT48-W,Visual Display,Ghent,EA,510,55,1,,missing_install_labor_family;
ghent-12uv48-w,GHENT-12UV48-W,Visual Display,Ghent,EA,417,55,1,,missing_install_labor_family;
ghent-a2m412-m,GHENT-A2M412-M,Visual Display,Ghent,EA,1656,95,1,,missing_install_labor_family;
ghent-a2m48-m,GHENT-A2M48-M,Visual Display,Ghent,EA,1016,65,1,,missing_install_labor_family;
ghent-ak44,GHENT-AK44,Visual Display,Ghent,EA,234,45,1,,missing_install_labor_family;
ghent-ak48,GHENT-AK48,Visual Display,Ghent,EA,364,55,1,,missing_install_labor_family;
ghent-m1-410-4-2p,GHENT-M1-410-4-2P,Visual Display,Ghent,EA,1244,75,1,,missing_install_labor_family;
ghent-m1-412-4,GHENT-M1-412-4,Visual Display,Ghent,EA,1391,75,1,,missing_install_labor_family;
ghent-m1-412-4-2p,GHENT-M1-412-4-2P,Visual Display,Ghent,EA,1496,90,1,,missing_install_labor_family;
ghent-m1-44-4,GHENT-M1-44-4,Visual Display,Ghent,EA,560,45,1,,missing_install_labor_family;
